frame,time,id,class,center_x,center_y,speed_kmh,center_y_inverted,delta_x,delta_y,theta,delta_theta,cum_delta_theta,windowed_delta_theta,turn_label,distance_moved,distance_moved_meters,overall_turn_label
181,6.241379310344827,2,car,329,3,13.953216764185076,-3,-6.0,24.0,1.8157749899217608,0.01817981507297839,0.030917979563042763,0.030917979563042763,straight,24.73863375370596,4.5571167441037295,straight
1,0.0344827586206896,3,car,245,263,,-263,,,,0.0,,0.0,straight,,,straight
31,1.0689655172413792,3,car,244,263,0.5605688000405392,-263,-1.0,0.0,3.141592653589793,0.0,0.0,0.0,straight,1.0,0.18421052631578946,straight
61,2.103448275862069,3,car,245,263,0.4982727272727272,-263,1.0,0.0,0.0,-3.141592653589793,-3.141592653589793,-3.141592653589793,straight,1.0,0.18421052631578946,straight
91,3.1379310344827585,3,car,245,263,0.0553636363636363,-263,0.0,0.0,0.0,0.0,-3.141592653589793,-3.141592653589793,straight,0.0,0.0,straight
121,4.172413793103448,3,car,245,263,0.0,-263,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
151,5.206896551724138,3,car,245,263,0.0,-263,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
181,6.241379310344827,3,car,245,263,0.0,-263,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
211,7.275862068965517,3,car,245,263,0.0,-263,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
241,8.310344827586206,3,car,245,262,0.0553636363636363,-262,0.0,1.0,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966,straight,1.0,0.18421052631578946,straight
271,9.344827586206897,3,car,245,262,0.4429090909090908,-262,0.0,0.0,0.0,-1.5707963267948966,0.0,0.0,straight,0.0,0.0,straight
301,10.379310344827584,3,car,245,262,0.0,-262,0.0,0.0,0.0,0.0,-1.5707963267948966,-1.5707963267948966,straight,0.0,0.0,straight
331,11.413793103448276,3,car,245,263,0.5536363636363636,-263,0.0,-1.0,-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,straight,1.0,0.18421052631578946,straight
361,12.448275862068966,3,car,245,262,0.3875454545454545,-262,0.0,1.0,1.5707963267948966,-3.141592653589793,-4.71238898038469,-4.71238898038469,straight,1.0,0.18421052631578946,straight
391,13.482758620689657,3,car,245,262,0.166090909090909,-262,0.0,0.0,0.0,-1.5707963267948966,-4.71238898038469,-4.71238898038469,straight,0.0,0.0,straight
421,14.517241379310343,3,car,245,262,0.0,-262,0.0,0.0,0.0,0.0,-1.5707963267948966,-1.5707963267948966,straight,0.0,0.0,straight
451,15.551724137931034,3,car,245,262,0.3321818181818181,-262,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
481,16.586206896551722,3,car,245,263,0.4429090909090908,-263,0.0,-1.0,-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,straight,1.0,0.18421052631578946,straight
511,17.620689655172413,3,car,245,263,0.3321818181818181,-263,0.0,0.0,0.0,1.5707963267948966,0.0,0.0,straight,0.0,0.0,straight
